id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha12_SAEM,alpha13_SAEM,alpha21_SAEM,alpha22_SAEM,alpha23_SAEM
1,3.41582,-0.146388,-0.189361,5.34861,7.38654,-0.00117634,4.85675,-0.185068,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
2,6.71275,-0.0605609,-0.199225,7.60492,7.43161,0.00268289,4.33819,-0.0359552,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
3,3.13756,-0.254666,-0.104683,9.70449,7.43184,0.00361059,4.37794,-0.152795,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
4,5.0214,-0.200166,-0.140594,6.04274,7.42099,0.00496464,4.12581,-0.185114,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
5,6.14593,-0.0928782,-0.190075,6.39243,7.41504,0.00342091,4.03274,-0.429084,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
6,2.24286,-0.095072,-0.179066,5.69802,7.33905,0.00287191,4.67314,-0.199991,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
7,2.96843,-0.229278,-0.152002,5.85046,7.41715,0.00493232,5.06618,-0.0668758,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
8,4.37606,-0.145505,-0.183976,6.05716,7.47555,0.00262333,4.44418,-0.193835,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
9,7.00753,-0.133382,-0.170084,6.76638,7.36013,0.00259248,5.78448,-0.139023,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
10,4.75464,-0.132474,-0.178269,5.4676,7.40554,0.00443808,4.81543,-0.211026,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
11,4.06686,-0.154714,-0.186502,4.76567,7.37757,0.00317435,3.89395,-0.301965,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
12,3.97388,-0.185406,-0.141846,5.43198,7.37921,0.00469591,5.32613,-0.185529,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
13,4.02167,0.0976445,-0.142002,5.05729,7.38478,0.00620665,2.99466,-0.274426,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
14,4.83377,-0.174089,-0.1437,4.58069,7.42605,-5.10146e-05,3.42765,-0.276917,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
15,6.88121,-0.165819,-0.153753,5.83933,7.40867,0.00349061,4.27685,-0.169114,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
16,4.11811,-0.158059,-0.158107,6.00453,7.37332,0.00328994,4.88973,-0.223707,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
17,7.18016,-0.164187,-0.149113,4.75558,7.41293,0.00284714,5.44547,-0.116657,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
18,5.21049,-0.146328,-0.156309,5.01027,7.49078,0.00652039,3.21201,-0.225205,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
19,4.76046,-0.0760944,-0.193967,6.6002,7.41699,0.00162613,3.88757,-0.19625,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
20,7.00814,-0.12197,-0.176562,5.58849,7.36323,0.00328571,4.05497,-0.180443,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
21,6.81032,-0.09582,-0.182803,5.51064,7.4188,0.00526179,4.60654,-0.0992873,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
22,1.33992,-0.214741,-0.0525707,9.17274,7.42243,0.00784011,4.20202,-0.159898,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
23,6.51418,-0.163363,-0.178622,5.34702,7.43783,0.00710964,4.21473,-0.0779442,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
24,3.70831,-0.131926,-0.164211,4.56337,7.33742,-0.00299414,5.41879,-0.0883199,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
25,2.72714,-0.0189459,-0.205341,9.32163,7.35034,0.00253316,3.91971,-0.189415,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
26,6.29674,-0.153593,-0.209025,5.36656,7.50531,0.0100876,4.88,-0.369326,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
27,2.87014,-0.145388,-0.162243,5.95337,7.40436,0.00383027,4.75421,-0.19887,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
28,5.62606,-0.0990146,-0.166781,4.91326,7.40538,0.00646128,5.48357,-0.16227,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
29,7.86077,-0.138818,-0.19033,5.64967,7.38838,0.00643107,3.752,-0.26771,0.0408192,0.0659451,0.794227,0.117089,0.0979634,-5.0548,0.864768,-0.0990792,1.52906e-13,-0.208933
