id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha12_SAEM,alpha13_SAEM,alpha21_SAEM,alpha22_SAEM,alpha23_SAEM
30,7.23437,-0.186937,-0.157219,6.07649,7.44399,0.00865761,4.99633,-0.321269,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
31,2.82713,-0.315098,-0.21746,25.3803,7.46351,0.000441319,4.42768,-0.101875,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
32,4.95504,-0.148457,-0.168993,5.54262,7.36673,0.00524254,4.70981,-0.0666646,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
33,6.03089,-0.149688,-0.168853,4.94805,7.42222,0.00294527,3.83006,-0.27517,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
34,3.56528,-0.130358,0.000733219,7.31966,7.45887,0.00242533,3.03338,-0.264216,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
35,5.27093,-0.218696,-0.068474,12.3516,7.39036,0.00312251,2.98595,-0.238279,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
36,4.09195,-0.149954,-0.153053,7.8424,7.4008,0.00255634,2.92035,-0.17793,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
37,6.77436,-0.33581,-0.176114,30.9941,7.3966,0.00315687,4.51542,-0.275971,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
38,5.69304,-0.238555,-0.121222,47.5469,7.37242,0.00736933,4.44822,0.0296598,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
39,6.17378,-0.166153,-0.169667,6.18751,7.40999,-0.00500769,2.77451,-0.0562899,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
40,5.79268,-0.136656,-0.16868,4.80092,7.41149,0.00136843,5.05254,-0.118862,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
41,5.87195,-0.135273,-0.160337,5.36798,7.34196,0.00314886,3.39371,-0.330982,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
42,6.19194,-0.134618,-0.171545,5.21344,7.46285,0.00221881,4.70223,-0.052287,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
43,5.88378,0.0203545,-0.139949,9.31606,7.3551,0.00673038,3.1751,0.0433371,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
44,1.99047,-0.106861,-0.194877,12.4787,7.34666,-0.000384713,3.58918,-0.303576,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
45,7.40725,-0.0995576,-0.170631,8.57628,7.34335,0.00141795,3.2586,-0.130388,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
46,3.35215,-0.146439,-0.178139,4.71634,7.43328,0.00700024,3.05406,-0.158197,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
