id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b04_SAEM,eta_b14_SAEM,eta_b07_SAEM,eta_b17_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha14_SAEM,eta_alpha17_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha24_SAEM,eta_alpha27_SAEM
29,-0.891393,-0.0258322,-0.00297351,-0.195338,-0.00380876,0.00138769,-0.355353,-0.099943,-0.190641,0.00318476,36.0097,0.0754607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,-0.171713,0.0509141,-0.0204463,0.618044,-0.00434291,-0.00169308,0.187024,0.129543,-1.22224,-0.00162554,4.68603,3.72369,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,-1.46383,-0.0154461,-0.00219409,-0.303784,0.0242317,0.00222635,0.869883,0.0471193,0.765765,0.045809,21.5795,0.526538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,-2.10341,0.0783874,-0.012636,0.107713,-0.0173185,-0.0039035,-0.653605,0.0328768,1.18051,0.00945797,-211.018,0.284091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1.97477,-0.0224599,-0.00145623,-0.548473,-0.0195322,6.95535e-05,1.18738,0.103795,0.270635,0.0510463,-82.8326,-3.46886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1.5627,-0.0032345,-0.00669641,-0.393823,0.000414695,-0.00378991,-0.286346,-0.137176,-1.8094,-0.059306,-160.796,-1.32741,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,-4.36326,-0.0792512,0.0255848,0.622363,-0.00908817,-0.0062102,1.54299,-0.0274591,0.990201,-0.0899713,-217.311,2.15721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2.34863,0.0219263,0.00226421,0.0391859,-0.0134052,-0.00121786,0.941201,0.0265021,1.4473,-0.000283575,113.884,0.226815,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,-4.2014,-0.00327843,-0.000530252,-0.152558,0.0126809,0.00112611,-0.019231,-0.0113956,-1.51191,-0.00305755,-54.4511,0.0164939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.0666227,-0.019965,-0.00163053,-0.795659,-0.0104995,-0.000870229,-0.0572762,0.395562,0.663214,0.0115813,144.651,-1.3545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
