id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b04_SAEM,eta_b14_SAEM,eta_b05_SAEM,eta_b15_SAEM,eta_b06_SAEM,eta_b16_SAEM,eta_b07_SAEM,eta_b17_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha14_SAEM,eta_alpha15_SAEM,eta_alpha16_SAEM,eta_alpha17_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha24_SAEM,eta_alpha25_SAEM,eta_alpha26_SAEM,eta_alpha27_SAEM
1,1.87491,0.156258,-0.0345814,1.18719,-0.0118318,0.000854389,0.122356,0.0957014,0.10812,-0.00213907,0.767934,-0.0120118,-0.698121,-1.14633e-05,-15.2216,-0.637284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-1.19633,-0.00706685,-0.00519877,-0.165671,0.0180027,-0.00646554,0.700367,0.0386997,1.15576,0.0296268,0.141259,0.0630613,1.44844,0.082847,-11.6825,-4.33696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-4.065,-0.0968882,0.0254354,0.198361,-0.0146263,0.000362906,-0.307638,0.0983488,-2.29573,0.00808752,-0.0966577,0.00297585,0.258106,-0.0150317,-67.908,-0.486601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-1.72677,-0.0877714,0.0318676,0.160303,-0.00970382,-0.000157791,1.1798,0.0248201,-0.361127,0.00185256,0.159296,-0.0137058,-0.025671,-0.00875866,22.0536,0.311708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.456509,0.0110909,-0.0107929,-0.260681,-0.0505153,-0.00106637,-0.0672808,0.00291184,-1.87764,0.0101224,0.916184,-0.0504044,0.363574,-0.0207408,14.8516,0.727158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.15787,-0.019066,0.00583627,0.0212348,0.0437365,-0.000604536,-0.149852,-0.0117003,-1.20194,0.00682436,-0.335268,0.00532985,0.0148993,-0.00222772,-61.1006,0.258415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3.24364,0.00694381,-0.0253843,-0.193037,0.0261947,0.00185365,0.496442,-0.122916,0.545449,0.0716541,-1.01126,-0.0523346,-0.271715,-0.0333216,147.89,6.21869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-3.70354,0.0580806,-0.0588352,0.732111,0.00115971,-6.18873e-05,-0.646566,0.0854645,2.70803,-0.0396053,-0.0330749,0.0847314,0.0970739,-0.0380598,-48.1041,-0.43408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1.33879,0.047351,-0.00193222,0.194517,-0.0185865,-0.000622577,0.386051,0.0534649,1.65308,0.00153553,-0.187569,0.0143232,0.711272,0.00133215,33.9871,0.0577483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0398031,0.00998596,-0.00302375,-0.127669,0.00447417,0.000253036,-1.02812,-0.0034394,-1.08641,0.000104504,0.322822,0.00871727,-0.347281,-0.000187281,156.584,-0.745508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
