id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b04_SAEM,eta_b14_SAEM,eta_b05_SAEM,eta_b15_SAEM,eta_b06_SAEM,eta_b16_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha14_SAEM,eta_alpha15_SAEM,eta_alpha16_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha24_SAEM,eta_alpha25_SAEM,eta_alpha26_SAEM
1,-4.82731,-0.0773828,0.0435056,0.0090036,0.022106,-0.00231067,1.22354,0.0480228,-0.0943345,-0.00931771,1.11131,-0.0496516,0.459507,0.111322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.123736,-0.00669324,-0.0038208,-0.202993,-0.0365884,-0.000149735,-0.588487,-0.0585956,-0.798499,-0.0175386,-0.61108,-0.109276,0.568165,-0.00312973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-0.820768,-0.00530169,-0.0100984,-0.195988,-0.0240465,-0.00384842,0.44667,0.0922203,-0.271611,-0.0379558,0.612409,0.0592118,-0.0881089,-0.00284693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-0.0182981,-0.0205364,-0.0107314,-0.301259,0.0169129,-0.00126996,-0.996341,0.16239,0.685194,0.0156432,-1.22167,0.0908111,-0.249094,0.0727653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-1.21785,-0.162945,0.0659316,1.0847,0.0174573,-0.000415525,-1.31871,0.0549602,0.0189449,-0.00229609,-0.876473,0.0733527,-0.610748,-0.0140227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.18027,-0.0453462,-0.0108666,-0.333524,0.0152913,-0.00342587,-0.0813632,0.0361077,-1.14622,-0.0117505,0.137831,0.0133074,-0.668967,-0.0940475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-0.265238,-0.160291,-0.014129,0.371287,-0.0135376,0.00184807,-0.276752,0.0315125,-1.71995,0.02557,-1.62474,0.0371847,-0.46931,-0.11385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.228494,-0.0601304,0.0157319,-0.124033,-0.0544681,-0.00364832,-2.27427,-0.086564,-2.34691,-0.0119981,-0.701218,-0.0951595,0.0792115,-0.0393389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.757962,0.0668876,-0.0832945,1.22517,0.0518169,0.00314813,1.44095,0.0128114,1.17765,0.024893,1.54047,0.0456617,-1.44738,0.0824357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-1.92453,-0.119455,-0.00189559,0.0134242,-0.0197798,0.00746379,-0.413125,-0.254181,-1.05642,0.132941,-0.964468,-0.137322,0.187699,0.170888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
