id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b05_SAEM,eta_b15_SAEM,eta_b06_SAEM,eta_b16_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha15_SAEM,eta_alpha16_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha25_SAEM,eta_alpha26_SAEM
29,0.792865,-0.079377,0.0169047,-0.281047,-0.0188265,0.00313456,-1.889,-0.0293842,-1.38175,0.0196463,-0.289017,0.0992403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,-2.58369,0.138307,0.0279885,-0.188321,0.0697402,0.0112304,1.74025,-0.138556,0.702108,-0.0290221,-0.577609,0.00526297,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,-1.106,0.0987686,-0.0219486,0.15194,-0.0199955,-0.00103781,-0.7899,0.0323072,-0.36054,0.10331,0.868001,-0.0158871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,-0.169568,-0.0119254,0.000618973,-0.0536551,-0.00639978,0.000228353,-0.977034,-0.0125502,-0.839012,-0.00214087,0.340764,-0.00880262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,-0.090035,0.0349703,-0.00698859,-0.0750239,0.0125988,-0.00197495,0.491217,0.100434,0.909672,-0.0703154,1.08314,0.0309158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.225303,-0.00432621,-0.00642569,-0.266852,0.0461432,0.000411744,-0.933383,-0.0714982,-0.211989,0.0179372,0.417217,0.00409432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,-4.1081,-0.138136,0.0171172,0.162225,-0.00122236,0.00378915,-0.576249,-0.283276,-0.540563,-0.031314,0.492541,0.0200624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,-0.36272,-0.00963798,5.06322e-05,-0.327442,0.0098167,-1.95892e-06,0.533319,-0.143618,1.05118,-0.01121,-0.546185,0.0525878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,-0.0686775,-0.0911528,0.000352874,-0.238174,-0.00692436,0.000644319,0.855064,-0.099923,-0.154163,-0.0320275,0.715317,-0.0347795,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.413005,-0.028307,0.00873263,-0.191956,-0.00413961,-0.00121745,0.734941,-0.0205203,0.0455555,0.0622462,0.521377,-0.00500273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
