id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha12_SAEM,alpha13_SAEM,alpha21_SAEM,alpha22_SAEM,alpha23_SAEM
31,3.58,-0.159524,-0.114228,3.93665,7.44173,0.000623402,3.79999,-0.184181,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
32,5.52293,-0.123986,-0.122714,3.75232,7.4064,0.00682054,4.04347,-0.241147,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
33,5.26893,0.0644374,-0.0930504,2.65137,7.44123,-0.001534,5.02345,-0.00773624,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
34,2.57668,-0.239606,-0.100726,7.44005,7.43496,0.00147568,3.87803,-0.210693,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
35,2.35231,-0.157495,-0.110749,6.51468,7.40677,0.00355873,4.43869,-0.150921,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
36,5.43555,-0.095497,-0.130154,3.82745,7.43204,0.00586169,4.20332,-0.269663,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
37,3.70751,-0.228496,-0.0782738,8.48878,7.32675,-0.0127547,4.12194,0.131631,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
38,4.23964,-0.00395867,-0.126033,16.6544,7.36313,0.000860456,3.89687,-0.0510609,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
39,6.12398,-0.213316,-0.114658,3.36115,7.3828,-0.00770739,4.33407,-0.496233,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
40,6.85237,-0.169917,-0.109222,4.57078,7.39965,0.000856266,3.96968,-0.168127,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
