id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b04_SAEM,eta_b14_SAEM,eta_b05_SAEM,eta_b15_SAEM,eta_b07_SAEM,eta_b17_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha14_SAEM,eta_alpha15_SAEM,eta_alpha17_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha24_SAEM,eta_alpha25_SAEM,eta_alpha27_SAEM
25,-1.03939,0.0136134,-0.0107278,-0.175975,0.00405542,0.00089767,0.239244,-0.0408664,2.36741,-0.00271738,0.908044,-0.00244155,-87.8524,-0.899104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.0811979,-0.0508479,0.00153711,-0.214253,0.00593022,-0.000929198,1.71482,0.120467,1.39536,-0.0157866,-0.529087,0.0884667,-19.9649,4.61938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,-0.574335,-0.028687,-0.0171809,-0.152507,-0.0606662,-0.00404515,0.024509,0.163847,-2.38276,0.0644935,0.352453,0.0789045,-53.4039,-2.17843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.744099,0.12858,-0.0477049,0.714867,-0.0339397,-0.00738975,-0.00176215,0.0192266,0.0318164,-0.0994403,-0.261154,-0.0112414,25.103,0.461715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.601647,-0.0735989,0.0173368,-0.0593344,0.0306303,0.0021851,0.382921,0.0942648,0.459118,-0.0168184,-0.212244,0.0942464,-20.1926,1.65545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,-0.690506,-0.0702476,0.14645,0.276071,0.044883,0.000486378,0.332818,0.0762862,-0.546239,0.014791,0.175465,0.0961754,57.1491,-3.41701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,-0.441003,-0.0316859,0.0259685,-0.10191,0.0330831,0.0039472,-0.0917581,0.109251,1.71155,0.160405,-0.0215083,0.162665,86.3893,-2.6295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,-1.90742,-0.0759165,-0.00531763,-0.22353,0.0244512,0.00142003,-1.06886,0.0703006,-2.78874,-0.0679264,0.411793,0.0397927,60.0696,-1.46945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3.124,-0.00505452,-0.0189629,-0.17779,0.0298653,-0.000994444,-1.09096,-0.21702,-0.11098,-0.0502929,-0.1606,-0.207979,19.7106,1.58715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,-2.55581,0.0164137,0.0032999,-0.148652,-0.00855878,-0.00572775,-0.229448,0.169692,-0.469186,-0.139448,-0.435684,0.0528271,-34.2195,-7.57952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,-1.37354,-0.0374356,0.00992296,-0.02387,-0.00555865,-0.000721505,-0.551903,-0.0996518,1.23916,0.00553131,-0.478525,-0.0182043,-33.6254,1.0309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1.72999,0.0120319,-0.0073122,-0.153326,0.022157,0.00190109,-0.560057,-0.0109559,1.81542,0.0224412,1.06928,0.0534071,67.3124,1.28241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.778749,-0.033398,0.00862664,-0.0238765,0.0152556,-0.000484066,-0.92001,0.00074139,-2.24248,-0.0158768,0.234275,-0.000820639,100.267,0.715971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2.1767,-0.112179,0.0411434,0.361515,0.0516501,0.00736924,-0.301843,-0.00571655,1.28219,0.0111129,0.258932,0.062865,91.1452,12.3094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,-0.355378,-0.0624989,0.0636688,0.0581717,-0.0258287,0.00075875,0.0264977,-0.216825,0.187066,0.0486777,-0.444522,-0.0144177,131.795,3.43746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1.77902,-0.0272497,-0.00771731,-0.0754402,0.0592873,-0.00294848,-0.402606,0.0463967,-0.768401,0.00211636,-0.29671,-0.0161011,-7.25934,-2.09588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,-2.75916,-0.0408862,0.0109165,-0.185364,-0.0494745,0.000186321,-0.242486,0.0552902,0.390477,-0.0104392,-0.254801,0.00694426,38.0972,0.282519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,-0.975925,-0.00290342,-0.0185106,-0.160461,-0.051887,-0.00530595,0.510746,-0.168656,3.21619,0.0131009,-0.213995,0.0767106,20.9406,-1.26432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,-1.51934,-0.0147803,0.00754491,-0.0666331,-0.0162943,-0.000250505,-0.839919,-0.0114791,-0.226793,-0.00204333,-0.260139,0.0168087,-148.356,0.489558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,-3.02661,0.152435,-0.0376065,0.207002,-0.0183441,0.0067156,0.753763,0.150694,0.72935,0.104348,-0.232776,0.057249,108.357,-1.21455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2.26,0.0502121,-0.0284154,0.0096811,-0.00575469,-0.00436796,1.61269,0.0439699,0.0452076,-0.0262598,-1.16591,-0.00244656,44.6175,0.32065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,-0.125147,0.0426478,-0.0103984,-0.0428243,0.0207569,0.00131088,-0.25162,-0.0190818,-1.64367,9.86933e-05,-0.0874435,0.00603943,-90.8898,0.110576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0.66981,-0.00725639,0.154791,-0.370933,-0.0343255,0.0064754,1.52804,-0.0122837,-1.83751,0.0932216,-0.351512,0.0183348,-107.112,-1.93538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2.18502,0.1536,-0.0143185,0.273991,0.0369884,0.00373483,1.95445,-0.189299,-2.56857,0.0298655,-0.18023,-0.155603,60.0189,-0.621082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2.28354,-0.0302441,-0.00417956,-0.11773,0.0246623,0.0020787,-0.0953942,0.285269,1.09957,0.0410746,0.667091,0.0899055,0.290581,0.0880698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,-2.7414,-0.0739127,0.0349275,-0.0506428,0.0309049,0.000678832,0.942268,-0.168613,1.20427,-0.00744517,-0.503976,0.0484113,-108.777,0.635425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1.74403,0.0295243,-0.0190203,0.0218376,0.00823676,-0.00165487,-0.718353,-0.0592543,3.00462,0.00275416,0.844309,0.00906831,-80.7241,-1.87702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1.87859,0.161783,-0.00916575,0.382534,0.0139779,-0.00278282,-0.175598,-0.133238,1.388,0.0175267,-0.425782,-0.000915136,-139.969,-4.2563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0.728341,0.0675197,-0.0247167,0.0883793,-0.0269483,-0.00076967,0.865252,0.0390892,3.11445,0.018473,-0.392863,-0.0781266,44.338,-1.7495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
