id,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha12_SAEM,alpha13_SAEM,alpha22_SAEM,alpha23_SAEM
46,7.39826,0.00213044,3.47383,-0.209376,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
47,7.40977,0.00526167,3.99376,-0.221951,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
48,7.44027,0.0101197,5.11736,-0.0455038,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
49,7.38122,0.0016803,5.23489,-0.0884379,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
50,7.40708,0.0028399,4.23536,-0.251727,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
51,7.461,0.00205992,3.09913,-0.185985,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
52,7.32973,-0.00745715,5.11232,-0.457138,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
53,7.37928,0.00175192,5.30405,-0.127255,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
54,7.40002,0.00473665,5.80362,0.0356881,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
55,7.36273,0.00239093,5.51318,-0.127107,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
56,7.37957,0.00359359,4.53933,-0.170599,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
57,7.40129,0.00323962,4.15677,-0.19514,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
58,7.40384,0.00681513,3.63671,0.0195757,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
59,7.39704,0.00390685,3.98889,-0.180093,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
60,7.43107,-0.000455129,4.42284,-0.0194744,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
61,7.45767,0.00266591,4.38069,-0.203603,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
62,7.419,0.005427,4.61147,-0.138207,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
63,7.37978,-0.00100429,5.164,-0.0351106,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
64,7.38563,-0.00160028,4.39903,-0.118605,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
65,7.40475,0.006491,4.20713,0.234837,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
66,7.35785,0.00342175,4.91829,-0.117779,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
67,7.44337,-0.00212673,3.91875,-0.291773,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
68,7.42238,0.00172995,3.74737,-0.0317152,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
69,7.42664,-0.00372026,5.15941,-0.0710884,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
70,7.4448,0.0106641,4.10489,0.0537502,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
71,7.41577,0.00471921,4.44962,-0.292382,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
72,7.37386,0.00409035,4.82539,-0.192584,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
73,7.44335,0.00459918,3.81014,-0.305083,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
74,7.36853,0.00222307,5.07484,0.0041123,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
75,7.36566,0.00611184,3.67526,-0.234817,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
76,7.4141,0.00381831,3.02735,-0.224067,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
77,7.38823,0.0048045,6.09788,-0.0735903,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
78,7.41359,0.0048041,4.85375,-0.112678,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
79,7.38747,0.00394445,3.57683,-0.167007,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
80,7.40282,0.00531908,4.38207,-0.0370787,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
81,7.47425,0.00257784,4.19895,0.146768,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
82,7.40966,0.00440815,3.96416,-0.158402,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
83,7.42829,0.0039738,4.41438,-0.0899635,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
84,7.41042,0.00388831,3.45337,-0.17691,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
85,7.39828,0.000785091,3.674,-0.114992,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
86,7.40286,0.00402653,3.18291,-0.152561,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
87,7.3862,-0.00426275,3.81776,-0.468631,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
88,7.40011,0.00228588,4.70329,-0.0894135,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
89,7.40755,0.00615951,4.60255,-0.112073,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
90,7.40344,0.00286702,4.05349,-0.137113,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
91,7.35254,0.0023801,4.21091,-0.0953027,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
92,7.38761,0.00375545,3.7492,-0.166717,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
93,7.3925,0.00124397,4.44422,-0.128113,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
94,7.33858,-0.00120523,4.90876,-0.0524809,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
95,7.4125,0.00405262,6.51117,-0.158412,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
96,7.38225,0.0045771,5.65126,-0.104086,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
97,7.40954,0.00415136,3.27592,-0.17102,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
98,7.39224,0.00607317,4.31895,0.11055,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
99,7.39963,0.00227314,5.64508,-0.0418833,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
100,7.45465,0.00912835,4.90673,0.110728,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
101,7.34554,0.00137178,4.23139,-0.0184133,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
102,7.42293,0.00561972,3.55822,-0.210176,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
103,7.39349,0.00374517,3.95661,-0.160272,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
104,7.38175,0.00575065,3.65287,-0.441604,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
105,7.36427,0.0035627,5.25394,-0.161828,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
106,7.38083,0.00888393,3.43955,-0.477245,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
107,7.41366,0.00438962,4.24931,-0.193495,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
108,7.36002,0.00385533,4.91588,0.0174161,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
109,7.41526,0.00581173,5.7232,-0.147556,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
110,7.35147,-0.0015979,5.52588,-0.00520283,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
111,7.45526,0.00186496,5.44047,-0.334777,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
112,7.37651,2.41586e-05,3.3365,-0.096603,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
113,7.39402,0.00400371,3.90266,-0.269868,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
114,7.39405,0.00436312,4.71722,-0.285823,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
115,7.37993,0.00140073,3.92411,-0.0507127,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
116,7.41776,0.00390196,3.93889,-0.221957,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
117,7.45288,0.000738166,3.43654,-0.175672,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
118,7.43656,0.00508032,3.72055,-0.225717,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
119,7.37169,0.00445375,4.92963,-0.166631,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
120,7.4139,0.00567182,5.26569,-0.446861,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
121,7.41646,0.00457866,3.42849,-0.153929,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
122,7.36539,-0.000432531,4.65284,-0.335973,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
123,7.40819,-0.00320648,4.86553,-0.283926,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
124,7.37809,0.000669435,3.68378,-0.097102,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
125,7.35699,0.00335465,4.91812,0.231023,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
126,7.40167,0.00395882,5.17525,-0.0861885,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
127,7.42539,0.00484351,4.69624,-0.160832,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
128,7.35601,0.00835296,3.58267,-0.20401,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
129,7.41481,0.0031631,4.85743,0.0145798,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
130,7.40198,0.00278023,4.95974,-0.176849,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
131,7.40523,0.00478313,3.36228,-0.065662,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
132,7.37915,0.000896672,5.51257,-0.139182,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
133,7.40746,0.00336826,3.16442,-0.181151,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
134,7.38869,0.00275723,3.06591,-0.221229,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
135,7.3586,0.0117151,4.10936,-0.173316,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
136,7.46097,0.0041947,4.82721,-0.254874,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
137,7.35463,-0.00458764,3.82101,-0.368681,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
138,7.4177,0.0054068,4.86824,-0.1624,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
139,7.39842,0.000126463,4.81691,0.00615665,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
140,7.41987,0.000276326,4.27661,-0.195544,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
141,7.34997,0.00950752,3.69735,-0.564754,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
142,7.37426,0.00391709,4.73678,-0.180324,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
143,7.37212,0.000943378,4.06907,-0.193944,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
144,7.41032,0.00452652,4.92191,-0.0988892,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
145,7.33422,0.00222623,3.65116,-0.352054,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
146,7.3877,0.00375947,3.16974,-0.157344,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
147,7.39347,0.010163,4.04097,-0.185553,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
148,7.35298,0.000748815,4.0979,-0.119394,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
149,7.39781,0.00187544,3.54449,-0.186573,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
150,7.43613,0.00171038,3.82384,-0.309536,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
151,7.34151,-0.000895484,4.01041,0.00697946,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
152,7.41342,0.00914877,2.4423,-0.211491,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
153,7.34231,-0.00189939,4.43018,-0.0855148,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
154,7.39423,0.00418269,4.20529,-0.161637,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
155,7.35942,0.00373045,4.44058,-0.16739,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
156,7.41324,0.00212466,4.80213,-0.0735818,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
157,7.40299,0.00387688,3.39543,-0.156541,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
158,7.40454,-8.03076e-05,4.43597,-0.00642447,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
159,7.3908,0.00252281,5.0919,-0.118358,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
160,7.38051,0.00408044,5.05003,-0.160851,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
161,7.41391,0.00813804,5.68799,-0.0709513,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
162,7.38382,0.0102009,5.13255,-0.113313,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
163,7.36973,0.00470999,4.43869,0.00155948,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
164,7.41145,0.00749462,4.35986,-0.0979526,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
165,7.38788,0.00776541,4.38153,-0.122607,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
166,7.39027,0.00407052,4.60031,-0.245207,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
167,7.41793,0.00384879,5.3756,-0.172401,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
168,7.37343,-0.000896789,3.54791,-0.464888,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
169,7.40068,0.00238143,4.6395,0.11103,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
170,7.40754,-0.00407441,4.88249,0.0518008,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
171,7.40375,0.00473342,3.05349,-0.0406667,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
172,7.40437,0.00409796,4.35992,-0.153763,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
173,7.40184,0.00323758,3.9831,-0.199387,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
