id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b04_SAEM,eta_b14_SAEM,eta_b05_SAEM,eta_b15_SAEM,eta_b07_SAEM,eta_b17_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha14_SAEM,eta_alpha15_SAEM,eta_alpha17_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha24_SAEM,eta_alpha25_SAEM,eta_alpha27_SAEM
1,-1.53168,-0.0300202,0.016203,-0.329967,0.00321891,-0.00184473,-0.890629,-0.0498843,-0.350816,-0.00679775,0.31125,-0.0242614,105.388,-0.336032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-2.63269,-0.00592302,-0.0126947,-0.417921,0.0396277,0.00523061,0.391194,0.195603,-1.38616,0.0642851,-1.84983,0.0377621,47.3179,-0.40498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-0.868456,0.0383257,-0.0148633,-0.0331531,0.000190071,-0.00168501,0.576181,0.0189567,-2.16178,0.000776477,-1.02252,0.019383,-25.4065,-0.215399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1.8242,-0.0494626,-0.000922263,-0.31962,-0.00988947,-0.00210074,1.62879,0.159937,-0.72832,-0.0647279,0.534433,-0.0182165,98.499,-3.62566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1.8218,-0.0466016,0.0119163,-0.271358,-0.0195792,2.41061e-05,1.36356,-0.254546,0.22704,-0.0173171,-0.778866,-0.160582,39.3184,-1.01112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.482979,-0.0561074,0.0201786,0.00113198,0.0618701,0.000433144,-0.608735,-0.0744474,-1.04729,-0.00496009,0.0338716,0.00906685,-51.0887,0.00337209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-3.85423,0.218016,-0.016344,0.325661,-0.00351698,0.00229794,-1.05281,-0.200629,-1.79464,-0.0759158,-0.458508,-0.0689941,12.0608,-3.43009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.300744,-0.0361594,0.00333215,-0.206913,-0.0278552,-0.000403075,-0.935945,0.0229569,1.58871,0.0177419,0.802285,0.0125664,131.827,1.21523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.231873,-0.00237594,-0.0236935,-0.164822,0.0134832,0.00213319,-1.75044,0.0688546,0.721336,0.057194,0.525638,-0.0281268,58.8705,1.71912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2.2641,-0.0203789,0.00301232,-0.373489,0.0405552,0.00227921,-0.239567,-0.0539712,1.10987,0.0591498,0.357201,0.00473668,-21.5887,-0.502039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.635361,0.155335,-0.0352713,1.41187,-0.0149068,-0.00288708,-0.454254,-0.0509636,-0.713741,-0.00525893,2.08604,0.034299,65.8782,0.289811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-0.867237,0.0576782,-0.00802369,0.25077,0.0256318,0.00052867,1.07501,0.0145771,-2.29146,0.00419471,0.23657,0.0217451,-1.70498,0.234233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.234833,-0.0643797,0.0425869,0.123121,0.03422,0.00674269,0.0210228,-0.0983602,1.41263,0.157952,1.33456,0.0246966,-56.2669,1.30784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.400559,0.0269278,0.00315136,0.0695632,-0.0617905,0.000183058,-0.520171,0.00724492,0.3991,0.00693509,-0.281605,0.0141021,150.348,-0.0881871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.525019,0.0159763,-0.00832917,0.203919,0.00807917,8.70069e-05,0.609523,0.0140169,1.27696,-0.00373556,-1.28769,0.0134135,77.1816,0.436476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2.04386,0.0257225,-0.0109724,0.0430128,-0.0163018,0.000337171,0.454364,-0.00524559,2.23585,0.00635895,-0.825457,0.0129952,216.537,0.0545873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
