id,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha12_SAEM,alpha13_SAEM,alpha22_SAEM,alpha23_SAEM
46,7.43506,0.00299658,4.00024,-0.170451,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
47,7.41101,0.000730018,4.13984,-0.314106,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
48,7.34835,0.00182647,4.5277,-0.168999,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
49,7.40789,0.000801519,5.29798,-0.227966,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
50,7.37259,0.00096078,5.19953,-0.127106,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
51,7.43024,0.00252281,4.26948,-0.179506,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
52,7.38356,-9.9544e-05,4.65389,-0.263909,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
53,7.42176,0.00256077,5.74725,-0.0415044,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
54,7.44229,0.00541254,5.28536,0.151817,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
55,7.41962,0.00186552,4.53316,-0.136782,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
56,7.3818,0.00293083,4.00408,-0.0766733,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
57,7.40158,0.00140884,5.58693,-0.126614,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
58,7.40803,0.00230164,4.93227,-0.183892,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
59,7.41564,0.00355637,3.32292,-0.173856,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
60,7.4391,-0.00147347,4.80817,-0.361658,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
61,7.46458,0.00203676,4.51785,-0.166556,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
62,7.36496,-0.00605341,4.05219,-0.512749,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
63,7.36505,0.00468161,3.81623,-0.0586917,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
64,7.41916,0.0025599,3.92482,-0.251231,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
65,7.38801,0.000822608,4.53778,-0.106298,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
66,7.43446,0.00665102,3.58966,-0.208823,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
67,7.41134,0.00172753,4.30298,-0.202089,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
68,7.42508,0.00577218,4.68942,-0.148102,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
69,7.40567,0.00590067,3.66045,-0.284667,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
70,7.36193,0.000151955,4.36915,-0.13423,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
71,7.3669,-0.00613779,4.51885,-0.129592,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
72,7.40603,0.00266972,4.17046,-0.180549,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
73,7.39434,0.00219674,2.71909,-0.176843,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
74,7.44808,0.00780185,4.54753,-0.207629,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
75,7.42666,-0.00413448,3.53703,-0.191935,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
76,7.46023,0.00285257,4.2108,-0.284364,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
77,7.40591,0.00351617,5.30064,-0.195019,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
78,7.41975,0.0107175,3.46191,-0.163472,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
79,7.41821,0.00259238,3.58264,-0.161347,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
80,7.42744,0.00744101,4.31308,-0.0641562,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
81,7.41566,0.00204633,4.45758,-0.25194,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
82,7.44898,0.00066921,3.80034,0.0534358,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
83,7.38662,0.00380844,4.85643,-0.205894,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
84,7.39345,-0.000636264,4.07265,-0.272341,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
85,7.34396,0.000264165,4.64601,-0.1529,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
86,7.47429,0.00363909,4.83521,-0.333079,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
87,7.42158,0.00276562,4.08859,0.0206409,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
88,7.38505,0.003113,3.3556,-0.186594,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
89,7.39314,0.00144358,2.93672,-0.175667,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
90,7.38266,0.00655489,3.60605,-0.118814,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
91,7.34276,0.00236439,2.52561,-0.199102,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
92,7.37351,-0.00810102,4.5445,-0.0816926,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
93,7.40636,0.00899927,3.83459,-0.145837,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
94,7.37935,0.000293612,5.06196,-0.126354,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
95,7.33684,0.00506861,3.4994,-0.248802,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
96,7.33939,-0.00156334,4.6052,-0.177377,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
